sample	group
PSCPINT1	PINT
PSCPINT2	PINT
PSCPINT3	PINT
PSCPINT4	PINT
PSCPINT5	PINT
PSCPINU1	PINU
PSCPINU2	PINU
PSCPINU3	PINU
PSCPINU4	PINU
PSCPINU5	PINU
PSCSCRT1	SCRT
PSCSCRT2	SCRT
PSCSCRT3	SCRT
PSCSCRT4	SCRT
PSCSCRT5	SCRT
PSCSCRU1	SCRU
PSCSCRU2	SCRU
PSCSCRU3	SCRU
PSCSCRU4	SCRU
PSCSCRU5	SCRU
